iter	Passed	Remaining
0	51	51116
1	52	26182
2	53	17740
3	54	13574
4	55	11097
5	56	9410
6	57	8210
7	59	7335
8	60	6632
9	61	6095
10	62	5651
11	63	5266
12	65	4935
13	66	4667
14	67	4416
15	68	4191
16	69	4004
17	70	3869
18	72	3749
19	73	3618
20	74	3494
21	76	3389
22	77	3293
23	78	3197
24	79	3103
25	80	3027
26	82	2956
27	83	2883
28	84	2831
29	86	2787
30	87	2732
31	88	2690
32	90	2642
33	91	2599
34	93	2567
35	94	2535
36	95	2495
37	96	2455
38	98	2416
39	99	2389
40	100	2358
41	101	2326
42	103	2302
43	104	2278
44	106	2252
45	107	2229
46	108	2206
47	110	2183
48	111	2156
49	112	2129
50	113	2102
51	114	2085
52	116	2073
53	117	2061
54	119	2045
55	120	2027
56	121	2007
57	123	2001
58	124	1990
59	125	1972
60	127	1955
61	128	1943
62	129	1931
63	131	1918
64	132	1903
65	133	1889
66	134	1878
67	135	1855
68	136	1839
69	137	1828
70	138	1813
71	139	1797
72	140	1782
73	141	1767
74	142	1753
75	143	1745
76	144	1735
77	146	1725
78	147	1716
79	148	1705
80	149	1693
81	150	1681
82	151	1668
83	151	1655
84	152	1640
85	153	1628
86	153	1613
87	154	1602
88	155	1590
89	156	1577
90	156	1564
91	157	1552
92	157	1540
93	158	1528
94	159	1517
95	159	1506
96	160	1494
97	161	1483
98	161	1473
99	162	1462
100	163	1451
101	163	1438
102	163	1428
103	164	1417
104	165	1407
105	165	1398
106	166	1389
107	167	1379
108	167	1370
109	168	1361
110	168	1352
111	169	1343
112	169	1333
113	170	1325
114	171	1316
115	171	1305
116	171	1296
117	172	1288
118	172	1278
119	173	1269
120	173	1261
121	174	1252
122	174	1243
123	174	1234
124	175	1226
125	175	1218
126	176	1210
127	176	1201
128	176	1194
129	177	1186
130	177	1178
131	178	1171
132	178	1164
133	178	1156
134	179	1149
135	179	1142
136	180	1135
137	180	1127
138	180	1120
139	181	1113
140	181	1106
141	182	1099
142	182	1093
143	182	1086
144	183	1079
145	183	1073
146	183	1066
147	184	1060
148	184	1054
149	184	1047
150	185	1041
151	185	1035
152	185	1029
153	186	1023
154	186	1016
155	186	1010
156	187	1004
157	187	998
158	187	992
159	187	986
160	188	981
161	188	975
162	188	969
163	189	964
164	189	958
165	189	953
166	189	947
167	190	942
168	190	937
169	190	932
170	191	926
171	191	921
172	191	916
173	191	911
174	192	906
175	192	901
176	192	896
177	193	891
178	193	886
179	193	881
180	193	876
181	193	871
182	194	866
183	194	861
184	194	857
185	194	852
186	195	848
187	195	844
188	195	839
189	195	835
190	196	830
191	196	826
192	196	822
193	196	817
194	197	813
195	197	809
196	197	805
197	197	801
198	198	797
199	198	793
200	198	789
201	198	785
202	199	782
203	199	778
204	199	774
205	200	770
206	200	767
207	200	763
208	200	760
209	201	756
210	201	752
211	201	749
212	201	746
213	202	742
214	202	739
215	202	736
216	203	733
217	203	730
218	203	727
219	204	723
220	204	720
221	204	717
222	204	713
223	205	710
224	205	707
225	205	704
226	205	701
227	206	698
228	206	695
229	206	692
230	206	688
231	207	686
232	207	683
233	207	680
234	208	677
235	208	674
236	208	671
237	208	668
238	209	665
239	209	662
240	209	660
241	209	657
242	210	654
243	210	651
244	210	649
245	210	646
246	211	643
247	211	641
248	211	638
249	211	635
250	212	633
251	212	630
252	212	627
253	212	625
254	213	622
255	213	620
256	213	617
257	213	615
258	214	612
259	214	610
260	214	607
261	214	605
262	215	602
263	215	600
264	215	598
265	216	596
266	216	593
267	216	591
268	216	589
269	217	587
270	217	585
271	217	582
272	218	580
273	218	578
274	218	576
275	219	574
276	219	572
277	219	570
278	219	568
279	220	565
280	220	563
281	220	561
282	220	559
283	221	557
284	221	555
285	221	553
286	221	550
287	222	548
288	222	546
289	222	544
290	222	542
291	222	540
292	223	538
293	223	536
294	223	534
295	223	532
296	224	530
297	224	528
298	224	526
299	224	524
300	225	522
301	225	520
302	225	519
303	225	517
304	226	515
305	226	513
306	226	511
307	226	509
308	227	507
309	227	505
310	227	504
311	227	502
312	228	500
313	228	498
314	228	496
315	228	495
316	228	493
317	229	491
318	229	489
319	229	488
320	230	486
321	230	485
322	230	483
323	230	481
324	231	479
325	231	478
326	231	476
327	231	474
328	232	473
329	232	471
330	232	470
331	232	468
332	233	466
333	233	465
334	233	464
335	234	462
336	234	461
337	234	460
338	235	458
339	235	456
340	235	455
341	235	453
342	236	452
343	236	450
344	236	449
345	236	447
346	237	446
347	237	444
348	237	443
349	237	441
350	238	440
351	238	438
352	238	437
353	238	435
354	239	434
355	239	432
356	239	431
357	239	430
358	240	428
359	240	427
360	240	425
361	240	424
362	240	422
363	241	421
364	241	420
365	241	418
366	241	417
367	242	415
368	242	414
369	242	413
370	242	411
371	243	410
372	243	409
373	243	407
374	243	406
375	244	405
376	244	403
377	244	402
378	244	401
379	245	399
380	245	398
381	245	397
382	245	396
383	246	394
384	246	393
385	246	392
386	247	391
387	247	390
388	247	388
389	247	387
390	248	386
391	248	385
392	248	383
393	248	382
394	249	381
395	249	380
396	249	379
397	249	377
398	250	376
399	250	375
400	250	374
401	250	373
402	251	371
403	251	370
404	251	369
405	251	368
406	252	367
407	252	366
408	252	365
409	252	363
410	253	362
411	253	361
412	253	360
413	253	359
414	254	358
415	254	356
416	254	355
417	254	354
418	255	353
419	255	352
420	255	351
421	255	350
422	255	349
423	256	348
424	256	347
425	256	346
426	257	345
427	257	344
428	257	342
429	257	341
430	258	340
431	258	339
432	258	338
433	258	337
434	259	336
435	259	335
436	259	334
437	259	333
438	260	332
439	260	331
440	260	330
441	260	329
442	261	328
443	261	327
444	261	326
445	262	325
446	262	324
447	262	323
448	263	322
449	263	321
450	263	320
451	263	319
452	264	319
453	264	318
454	264	317
455	265	316
456	265	315
457	265	314
458	266	313
459	266	312
460	266	311
461	266	310
462	267	309
463	267	308
464	267	307
465	267	306
466	268	305
467	268	305
468	268	304
469	268	303
470	269	302
471	269	301
472	269	300
473	269	299
474	270	298
475	270	297
476	270	296
477	270	295
478	271	294
479	271	294
