iter	Passed	Remaining
0	47	46961
1	47	23725
2	47	15942
3	48	12069
4	48	9734
5	49	8239
6	50	7194
7	51	6385
8	52	5761
9	53	5286
10	54	4891
11	55	4558
12	56	4302
13	58	4096
14	59	3899
15	60	3706
16	61	3541
17	62	3388
18	62	3252
19	64	3137
20	65	3035
21	66	2940
22	67	2849
23	67	2763
24	68	2685
25	69	2618
26	70	2552
27	71	2493
28	72	2436
29	73	2381
30	74	2330
31	75	2279
32	76	2234
33	77	2189
34	77	2148
35	78	2109
36	79	2073
37	80	2039
38	81	2007
39	82	1982
40	83	1951
41	84	1925
42	85	1900
43	86	1879
44	87	1853
45	88	1828
46	88	1803
47	89	1779
48	90	1759
49	91	1737
50	92	1715
51	92	1693
52	93	1672
53	94	1653
54	95	1634
55	95	1617
56	96	1598
57	97	1579
58	98	1563
59	98	1549
60	99	1534
61	100	1518
62	101	1503
63	101	1488
64	102	1473
65	103	1458
66	103	1443
67	104	1429
68	104	1415
69	105	1403
70	106	1392
71	107	1379
72	107	1366
73	108	1355
74	108	1343
75	109	1331
76	110	1320
77	110	1310
78	111	1299
79	111	1287
80	112	1276
81	112	1265
82	113	1251
83	113	1240
84	114	1230
85	114	1219
86	115	1209
87	115	1200
88	116	1190
89	116	1180
90	117	1170
91	117	1160
92	118	1151
93	118	1141
94	118	1132
95	119	1123
96	119	1114
97	120	1105
98	120	1096
99	120	1088
100	121	1079
101	121	1071
102	122	1063
103	122	1054
104	122	1046
105	123	1038
106	123	1030
107	123	1022
108	124	1015
109	124	1007
110	124	1000
111	125	993
112	125	985
113	125	978
114	126	971
115	126	964
116	126	957
117	127	951
118	127	944
119	127	938
120	128	931
121	128	924
122	128	918
123	129	912
124	129	906
125	129	900
126	129	893
127	130	887
128	130	882
129	131	877
130	131	871
131	131	865
132	131	860
133	132	854
134	132	849
135	132	843
136	133	838
137	133	833
138	133	828
139	133	822
140	134	817
141	134	811
142	134	806
143	134	801
144	135	797
145	135	792
146	135	787
147	135	782
148	136	777
149	136	773
150	136	768
151	136	764
152	137	759
153	137	755
154	137	750
155	137	746
156	138	742
157	138	738
158	138	733
159	139	729
160	139	725
161	139	721
162	139	717
163	139	713
164	140	709
165	140	705
166	140	701
167	140	697
168	141	694
169	141	690
170	141	686
171	141	683
172	142	679
173	142	676
174	142	672
175	142	669
176	143	665
177	143	662
178	143	658
179	143	655
180	144	652
181	144	649
182	144	645
183	144	642
184	145	639
185	145	636
186	145	633
187	145	630
188	146	627
189	146	624
190	146	621
191	146	618
192	147	615
193	147	613
194	147	610
195	148	608
196	148	605
197	148	603
198	149	600
199	149	597
200	149	595
201	149	592
202	150	589
203	150	587
204	150	584
205	151	582
206	151	579
207	151	577
208	151	574
209	152	572
210	152	569
211	152	567
212	152	564
213	153	562
214	153	560
215	153	558
216	154	556
217	154	553
218	154	551
